Customer_ID,Gender,Age_Group,City,Country,Customer_Segment,Acquisition_Channel
1,Male,66+,Shelbymouth,Netherlands,Regular,Paid Ads
2,Male,66+,South Shannontown,Germany,Regular,Email
3,Female,18-25,Nicholasside,Germany,VIP,Paid Ads
4,Other,18-25,Parrishburgh,France,Regular,Email
5,Female,56-65,Nelsonside,Italy,Regular,Organic Search
6,Male,66+,Lake Kimberlyshire,Portugal,Regular,Social Media
7,Female,18-25,West Chadfurt,Germany,VIP,Organic Search
8,Female,56-65,Lake Michael,Italy,Regular,Organic Search
9,Other,18-25,New Arthur,Greece,Regular,Referral
10,Female,66+,West Scott,Germany,Regular,Social Media
11,Other,18-25,Hammondmouth,Poland,VIP,Paid Ads
12,Male,26-35,North Laurenport,Czech Republic,Regular,Referral
13,Other,36-45,Kimberlyport,France,VIP,Social Media
14,Female,66+,North Sherry,France,Regular,Organic Search
15,Male,56-65,East Krystalbury,Poland,Regular,Paid Ads
16,Female,66+,East Emilyburgh,Spain,Regular,Paid Ads
17,Male,26-35,Melissaville,Belgium,Regular,Social Media
18,Male,26-35,Davidton,Italy,Regular,Email
19,Female,26-35,Castroville,Romania,Regular,Referral
20,Other,46-55,Port Veronica,Denmark,VIP,Paid Ads
21,Other,56-65,Port Christine,France,Regular,Email
22,Other,46-55,Carloschester,Italy,Regular,Paid Ads
23,Male,18-25,West Lori,Spain,Regular,Paid Ads
24,Other,46-55,North Maryside,Poland,Regular,Referral
25,Female,56-65,Deanmouth,Italy,Regular,Email
26,Male,66+,Claytonstad,Romania,Regular,Email
27,Other,36-45,South Mark,Portugal,VIP,Referral
28,Male,66+,East Samanthahaven,Germany,Regular,Social Media
29,Male,56-65,Wilsonfurt,Latvia,Regular,Social Media
30,Other,56-65,North Anthonytown,Austria,VIP,Social Media
31,Other,56-65,Port Coryhaven,Czech Republic,Regular,Email
32,Male,18-25,Hebertstad,France,Regular,Social Media
33,Male,56-65,Jessicaburgh,France,Regular,Organic Search
34,Male,56-65,Williamberg,Portugal,Regular,Paid Ads
35,Other,26-35,Allisonland,Netherlands,Regular,Email
36,Male,56-65,Williefurt,Italy,Regular,Paid Ads
37,Female,66+,Robertton,Greece,Regular,Referral
38,Female,18-25,East Sandra,Finland,Regular,Organic Search
39,Other,56-65,North Joshuahaven,Italy,Regular,Paid Ads
40,Other,66+,Jeremyfurt,Germany,VIP,Organic Search
41,Female,18-25,East Brendatown,Finland,Regular,Social Media
42,Male,56-65,East Jenniferton,Netherlands,VIP,Email
43,Male,46-55,Port Jessicamouth,Poland,Regular,Paid Ads
44,Other,46-55,Andreaton,Germany,Regular,Referral
45,Other,18-25,Bullockside,Spain,Regular,Organic Search
46,Other,36-45,Aaronland,Germany,Regular,Organic Search
47,Male,56-65,Lake Georgeville,France,Regular,Referral
48,Female,26-35,Christopherfort,France,Regular,Organic Search
49,Other,18-25,Christopherfurt,Italy,VIP,Email
50,Male,26-35,South Alexander,Hungary,VIP,Referral
51,Female,18-25,Morrisport,Spain,VIP,Organic Search
52,Female,46-55,Vegachester,Bulgaria,Regular,Email
53,Female,26-35,South Johnfort,Netherlands,VIP,Paid Ads
54,Other,66+,Port Meganbury,Slovenia,Regular,Social Media
55,Other,46-55,Rogerschester,Germany,Regular,Email
56,Other,18-25,Jenniferfort,Germany,Regular,Organic Search
57,Other,26-35,Watsonhaven,Poland,Regular,Email
58,Other,18-25,New Michael,France,Regular,Referral
59,Other,56-65,Hughesview,Netherlands,Regular,Social Media
60,Other,36-45,South Alyssa,France,Regular,Referral
61,Other,36-45,Port Sarah,Germany,Regular,Organic Search
62,Other,56-65,Timothyborough,Germany,Regular,Organic Search
63,Other,36-45,Tinaside,Spain,VIP,Social Media
64,Male,36-45,Byrdhaven,Denmark,Regular,Referral
65,Other,36-45,Weeksside,Hungary,Regular,Email
66,Other,36-45,Jamesbury,Germany,Regular,Organic Search
67,Male,36-45,Patriciahaven,Ireland,VIP,Organic Search
68,Male,36-45,Mckaymouth,Portugal,Regular,Paid Ads
69,Male,66+,South Paul,Greece,Regular,Social Media
70,Female,18-25,Lake Maryburgh,Spain,VIP,Referral
71,Male,18-25,South Katherine,Hungary,Regular,Paid Ads
72,Female,26-35,Zunigachester,Netherlands,Regular,Email
73,Other,18-25,West Staceyside,Greece,VIP,Paid Ads
74,Female,56-65,Eduardomouth,Spain,Regular,Referral
75,Female,36-45,Josephview,Germany,Regular,Organic Search
76,Male,66+,West William,Finland,Regular,Organic Search
77,Other,46-55,Jordanfurt,Italy,Regular,Paid Ads
78,Male,26-35,Port Danielmouth,Slovakia,Regular,Paid Ads
79,Male,26-35,Mayview,Denmark,Regular,Social Media
80,Female,66+,North Tanyaburgh,Czech Republic,Regular,Paid Ads
81,Other,18-25,Mariahmouth,France,Regular,Organic Search
82,Male,26-35,New Maryton,Austria,Regular,Referral
83,Male,26-35,Collinston,Italy,VIP,Paid Ads
84,Female,18-25,Boothstad,Italy,Regular,Social Media
85,Other,46-55,Lake Zacharyberg,Italy,Regular,Email
86,Male,18-25,Lake Crystalfort,Italy,Regular,Social Media
87,Female,18-25,South Felicia,France,VIP,Referral
88,Female,46-55,Laneport,Italy,Regular,Email
89,Other,26-35,Jamesfort,Germany,Regular,Referral
90,Other,66+,Greenfurt,Germany,Regular,Paid Ads
91,Male,66+,Tracyfurt,Italy,Regular,Email
92,Male,66+,Thompsonmouth,France,Regular,Email
93,Female,36-45,North Heather,France,Regular,Social Media
94,Male,46-55,Hopkinsbury,Poland,Regular,Referral
95,Male,56-65,New Ashley,Belgium,Regular,Referral
96,Male,36-45,North Joseph,Spain,Regular,Referral
97,Other,66+,Mayershire,Czech Republic,Regular,Referral
98,Male,56-65,New William,Italy,Regular,Paid Ads
99,Female,56-65,East Melinda,Netherlands,Regular,Email
100,Male,66+,Cassandrastad,Italy,Regular,Paid Ads
101,Male,26-35,West Christopher,Germany,Regular,Email
102,Male,46-55,Annaland,Austria,Regular,Email
103,Other,46-55,South Lynn,France,Regular,Paid Ads
104,Other,18-25,North Neil,Germany,Regular,Organic Search
105,Male,26-35,Port Jimmyshire,Czech Republic,Regular,Email
106,Other,26-35,West Adamhaven,Spain,Regular,Organic Search
107,Female,66+,South Charlesstad,Spain,Regular,Email
108,Female,56-65,Lake Timothyborough,Poland,Regular,Email
109,Other,46-55,East Ryanton,Italy,Regular,Referral
110,Male,66+,Jeanhaven,Italy,Regular,Email
111,Male,36-45,Port Randallbury,Spain,Regular,Social Media
112,Female,36-45,Port Jessicahaven,France,Regular,Organic Search
113,Male,46-55,North Cheryl,Germany,Regular,Paid Ads
114,Female,36-45,South Kyle,Germany,Regular,Referral
115,Female,46-55,Zacharyhaven,Germany,Regular,Email
116,Male,56-65,Davidton,Ireland,Regular,Organic Search
117,Female,46-55,Kaylatown,Ireland,Regular,Referral
118,Other,56-65,Donnaton,Spain,Regular,Paid Ads
119,Female,46-55,Port Bill,Spain,Regular,Referral
120,Other,46-55,Bellborough,Italy,Regular,Referral
121,Other,56-65,Luceroberg,Slovakia,VIP,Referral
122,Other,18-25,Gonzalezmouth,Poland,VIP,Referral
123,Female,26-35,Cherryberg,Germany,VIP,Referral
124,Female,36-45,Rodriguezfurt,Italy,Regular,Referral
125,Female,36-45,South Donna,France,Regular,Referral
126,Other,18-25,Amandafort,Germany,Regular,Social Media
127,Male,66+,West Anthonyfurt,France,VIP,Organic Search
128,Male,18-25,Ryanberg,Croatia,Regular,Paid Ads
129,Other,18-25,West Janetstad,Germany,Regular,Paid Ads
130,Female,36-45,South Eric,Spain,VIP,Email
131,Other,18-25,North Nicholasbury,Lithuania,Regular,Paid Ads
132,Male,56-65,Danielstad,Lithuania,VIP,Social Media
133,Female,46-55,West Davidburgh,Poland,Regular,Paid Ads
134,Other,66+,Cynthiamouth,Germany,Regular,Social Media
135,Other,18-25,South Julian,Austria,Regular,Email
136,Female,56-65,Laurafort,Czech Republic,Regular,Social Media
137,Other,36-45,Wilsonview,Germany,VIP,Referral
138,Male,46-55,West Allenfort,Hungary,Regular,Referral
139,Female,26-35,New Summer,Greece,Regular,Social Media
140,Other,46-55,East Rebeccafort,Poland,Regular,Email
141,Male,18-25,Brownside,France,Regular,Referral
142,Female,56-65,Karenhaven,France,Regular,Referral
143,Female,36-45,Whitneybury,Italy,VIP,Paid Ads
144,Female,36-45,Port Luisborough,Italy,Regular,Email
145,Female,56-65,Atkinsonberg,Greece,VIP,Paid Ads
146,Other,46-55,New Adrienne,Germany,Regular,Paid Ads
147,Other,66+,Port Matthew,Belgium,Regular,Organic Search
148,Male,46-55,Port Mikechester,Germany,Regular,Social Media
149,Female,46-55,North Karlaland,Netherlands,Regular,Social Media
150,Other,56-65,West Allison,Italy,Regular,Referral
151,Female,26-35,South Rebeccaport,France,VIP,Paid Ads
152,Other,56-65,North Maryside,France,Regular,Paid Ads
153,Other,46-55,Port Jessicaland,France,Regular,Email
154,Other,56-65,Michelestad,Estonia,Regular,Organic Search
155,Female,26-35,New Mollytown,Hungary,Regular,Social Media
156,Other,26-35,West Kathleen,Germany,Regular,Organic Search
157,Other,26-35,Bondview,Poland,Regular,Referral
158,Male,56-65,New Ginamouth,Germany,Regular,Referral
159,Male,18-25,Jonesmouth,Italy,Regular,Referral
160,Male,46-55,Wallsport,Germany,Regular,Email
161,Male,26-35,New Josestad,Poland,VIP,Email
162,Male,26-35,Michaelborough,Croatia,VIP,Referral
163,Other,26-35,Lake Laurastad,Poland,Regular,Referral
164,Female,36-45,Port Elizabethside,Italy,Regular,Referral
165,Other,18-25,Lake Stanley,France,Regular,Organic Search
166,Male,66+,Christopherland,Ireland,Regular,Organic Search
167,Male,56-65,Lake Saraside,Germany,VIP,Organic Search
168,Other,56-65,South Jefferyport,Italy,Regular,Organic Search
169,Other,36-45,Garyfurt,France,Regular,Referral
170,Male,36-45,East Justin,Germany,Regular,Email
171,Male,46-55,Shawnview,Netherlands,VIP,Paid Ads
172,Female,26-35,West Allisonfurt,Netherlands,VIP,Paid Ads
173,Other,66+,Hendersontown,Sweden,Regular,Social Media
174,Female,66+,North Phillip,Italy,Regular,Referral
175,Other,56-65,Frankchester,Ireland,Regular,Organic Search
176,Female,66+,Sabrinachester,Poland,Regular,Social Media
177,Male,66+,Lake Leonardbury,Germany,Regular,Email
178,Male,66+,West Brittney,Poland,Regular,Email
179,Male,46-55,Lake Lisaborough,Germany,Regular,Referral
180,Male,56-65,Gordonmouth,Finland,Regular,Referral
181,Female,36-45,Charleschester,Slovenia,Regular,Social Media
182,Male,36-45,Chaseland,Netherlands,Regular,Referral
183,Female,56-65,Johnsonfurt,France,VIP,Organic Search
184,Female,18-25,Penashire,France,Regular,Referral
185,Male,66+,North Wesley,Romania,Regular,Referral
186,Male,56-65,Port Daniellebury,Italy,Regular,Referral
187,Male,26-35,East Dennisstad,Poland,Regular,Paid Ads
188,Female,66+,New Travismouth,Slovakia,Regular,Organic Search
189,Other,26-35,Randallville,Latvia,Regular,Social Media
190,Other,46-55,Rodriguezview,Spain,VIP,Organic Search
191,Male,66+,Lake Christopherville,Spain,Regular,Referral
192,Female,56-65,Gutierrezbury,Slovakia,Regular,Referral
193,Female,26-35,North Carolynstad,Hungary,Regular,Paid Ads
194,Other,56-65,North Shellyview,Italy,Regular,Paid Ads
195,Female,46-55,Port Stephen,Romania,Regular,Email
196,Male,36-45,Port Carolynport,France,Regular,Email
197,Other,46-55,Port Valerie,Poland,Regular,Referral
198,Female,36-45,Amandahaven,Spain,Regular,Email
199,Female,26-35,Nathanielland,Italy,Regular,Paid Ads
200,Male,46-55,Lake Mikeborough,Poland,VIP,Referral
201,Female,46-55,New Patriciamouth,Greece,Regular,Paid Ads
202,Male,26-35,South Vernonberg,Spain,Regular,Email
203,Male,46-55,Susanland,Italy,VIP,Referral
204,Male,46-55,New Jacqueline,Germany,Regular,Paid Ads
205,Female,36-45,North Danielborough,Germany,Regular,Referral
206,Female,66+,North Rachelhaven,Netherlands,Regular,Referral
207,Other,66+,Walkerborough,Croatia,Regular,Referral
208,Male,56-65,Lisaberg,Romania,VIP,Social Media
209,Other,18-25,Lake Richard,Bulgaria,Regular,Organic Search
210,Other,18-25,Lake Madisonville,Czech Republic,Regular,Social Media
211,Male,36-45,Clarkshire,Finland,Regular,Social Media
212,Female,26-35,Kimberlyfurt,Italy,Regular,Referral
213,Male,26-35,Annabury,Poland,VIP,Email
214,Other,66+,Jillianton,Romania,Regular,Email
215,Female,66+,South Tyler,Germany,Regular,Social Media
216,Female,36-45,Port Ashley,Netherlands,Regular,Paid Ads
217,Female,56-65,Thorntonshire,Germany,Regular,Referral
218,Female,36-45,Port Walterborough,Belgium,VIP,Referral
219,Male,26-35,South Patriciastad,Austria,Regular,Social Media
220,Other,36-45,Jeremymouth,Poland,VIP,Referral
221,Other,66+,South Bryan,France,Regular,Organic Search
222,Other,46-55,Sarahton,Finland,Regular,Social Media
223,Male,56-65,Mcgrathville,Czech Republic,Regular,Paid Ads
224,Other,36-45,Samuelchester,Netherlands,Regular,Paid Ads
225,Other,66+,Port Stephanieland,Poland,VIP,Referral
226,Female,66+,North Davidstad,Germany,VIP,Social Media
227,Female,26-35,East Melissa,Italy,Regular,Email
228,Female,56-65,Johnfurt,Romania,Regular,Social Media
229,Female,46-55,Donnaborough,Hungary,Regular,Social Media
230,Female,18-25,West Amyhaven,Portugal,Regular,Organic Search
231,Male,66+,Danielview,Germany,Regular,Referral
232,Other,36-45,Garzafurt,Slovenia,VIP,Referral
233,Other,18-25,New Matthew,Germany,Regular,Social Media
234,Other,36-45,Jonesfort,Poland,VIP,Paid Ads
235,Other,56-65,Port Kevinmouth,Spain,Regular,Email
236,Male,66+,Bartonburgh,France,Regular,Social Media
237,Male,26-35,North Mathew,Netherlands,VIP,Organic Search
238,Female,18-25,West William,France,VIP,Email
239,Female,36-45,Ericborough,Germany,Regular,Email
240,Other,66+,East Steven,Italy,VIP,Referral
241,Female,56-65,North Jessicashire,Netherlands,Regular,Social Media
242,Female,26-35,Allisonport,Germany,Regular,Paid Ads
243,Male,66+,Macdonaldview,Austria,Regular,Social Media
244,Female,26-35,Port Randyhaven,Germany,Regular,Referral
245,Male,66+,Tiffanyborough,Germany,Regular,Organic Search
246,Female,26-35,Huberchester,Germany,Regular,Email
247,Other,26-35,New Emilyton,France,Regular,Paid Ads
248,Male,56-65,East Jennifer,Italy,VIP,Paid Ads
249,Other,36-45,Arnoldbury,Bulgaria,Regular,Organic Search
250,Male,26-35,Curtishaven,Netherlands,VIP,Paid Ads
251,Male,26-35,Grahammouth,Poland,Regular,Paid Ads
252,Other,18-25,Daniellebury,Portugal,Regular,Referral
253,Female,56-65,West Angelaburgh,Italy,Regular,Referral
254,Other,18-25,Lake Ashley,Spain,Regular,Email
255,Other,18-25,Williamsmouth,France,VIP,Referral
256,Female,66+,Laurieshire,Austria,VIP,Referral
257,Male,36-45,Port Anna,Germany,Regular,Organic Search
258,Other,66+,North Nathanville,Germany,Regular,Social Media
259,Other,56-65,Jacobborough,Italy,Regular,Email
260,Male,66+,Kennethport,Poland,VIP,Email
261,Male,46-55,South Michaelton,Greece,Regular,Paid Ads
262,Female,46-55,Brandibury,Italy,Regular,Organic Search
263,Female,66+,Gonzalezburgh,France,Regular,Paid Ads
264,Female,18-25,Johnstontown,Belgium,VIP,Organic Search
265,Male,66+,Port Taylorburgh,Germany,Regular,Paid Ads
266,Other,56-65,Gregtown,Poland,Regular,Organic Search
267,Other,46-55,Port Lisatown,Italy,Regular,Organic Search
268,Other,36-45,Josephton,Slovenia,Regular,Email
269,Male,66+,Frankland,Spain,Regular,Organic Search
270,Other,36-45,Michaelton,Italy,VIP,Social Media
271,Female,56-65,West Pamela,Poland,Regular,Email
272,Other,56-65,Port Nathan,Poland,VIP,Social Media
273,Female,66+,Wendyland,Germany,Regular,Social Media
274,Male,26-35,North Jenniferport,Italy,Regular,Referral
275,Other,66+,Mcdonaldhaven,Germany,Regular,Organic Search
276,Male,46-55,Allenside,Portugal,Regular,Social Media
277,Female,66+,New Christophertown,Germany,Regular,Email
278,Male,26-35,Hardyview,Poland,VIP,Email
279,Male,36-45,Jacobhaven,Germany,Regular,Referral
280,Female,46-55,Codyport,Spain,Regular,Email
281,Female,18-25,East Stephen,Germany,Regular,Email
282,Other,36-45,Port Kimberlymouth,Spain,VIP,Referral
283,Male,18-25,Lake Jeffreymouth,Malta,Regular,Paid Ads
284,Female,36-45,Port Aprilmouth,Czech Republic,Regular,Organic Search
285,Female,26-35,South Rickyview,Spain,VIP,Email
286,Other,56-65,Garretttown,Greece,Regular,Social Media
287,Other,18-25,Frederickhaven,Germany,Regular,Referral
288,Female,56-65,East Sarah,Slovakia,Regular,Referral
289,Female,36-45,East Sandramouth,Greece,VIP,Organic Search
290,Male,56-65,West Austin,Slovenia,Regular,Social Media
291,Male,26-35,Kimberlybury,Germany,Regular,Referral
292,Female,36-45,Vickiberg,Spain,Regular,Paid Ads
293,Male,18-25,Smithfort,Italy,Regular,Organic Search
294,Male,36-45,North Shaneview,Spain,Regular,Paid Ads
295,Male,36-45,Nathanhaven,France,VIP,Email
296,Other,18-25,Michaelfurt,Germany,VIP,Referral
297,Other,56-65,Port Austinburgh,Spain,Regular,Email
298,Other,36-45,Cuevasbury,Netherlands,Regular,Social Media
299,Male,46-55,Pattersonville,Germany,Regular,Social Media
300,Other,18-25,Brettstad,Sweden,Regular,Organic Search
301,Female,18-25,Davidview,France,VIP,Social Media
302,Male,56-65,Christinestad,Germany,Regular,Referral
303,Other,66+,New Keithstad,Spain,Regular,Referral
304,Other,66+,Forbesside,Finland,VIP,Email
305,Male,18-25,Lake Valeriefort,Spain,Regular,Social Media
306,Male,56-65,Kimberlyborough,Luxembourg,Regular,Organic Search
307,Female,46-55,East Robertton,France,Regular,Email
308,Female,36-45,West Monica,Germany,Regular,Social Media
309,Male,66+,North Adam,Belgium,Regular,Organic Search
310,Other,66+,Heatherburgh,Italy,Regular,Social Media
311,Other,56-65,Tylerfort,Greece,Regular,Social Media
312,Other,26-35,West Connor,Germany,Regular,Social Media
313,Other,66+,South Kaitlynmouth,Slovenia,Regular,Email
314,Male,36-45,Andreastad,Greece,Regular,Social Media
315,Other,66+,Port Josephmouth,Sweden,Regular,Email
316,Other,46-55,Eddiefort,Germany,Regular,Organic Search
317,Male,26-35,Davidtown,Italy,Regular,Referral
318,Male,26-35,North Lori,France,VIP,Organic Search
319,Other,66+,Samanthamouth,Spain,Regular,Organic Search
320,Other,26-35,New Carolyn,Netherlands,Regular,Paid Ads
321,Other,56-65,Wyattport,Germany,Regular,Paid Ads
322,Male,46-55,New Joshuamouth,Greece,Regular,Paid Ads
323,Other,36-45,New Dylanchester,Slovenia,Regular,Referral
324,Male,36-45,North Tricia,France,Regular,Referral
325,Male,36-45,Lake Phyllis,Finland,Regular,Email
326,Female,36-45,Landryshire,Malta,Regular,Email
327,Male,26-35,New Hollybury,Spain,Regular,Paid Ads
328,Male,66+,Hancockton,Romania,Regular,Social Media
329,Male,66+,East Cynthia,Poland,Regular,Organic Search
330,Male,36-45,Stephanieview,France,Regular,Email
331,Female,18-25,Lake Paigechester,Germany,Regular,Paid Ads
332,Female,18-25,Sullivanmouth,Sweden,Regular,Referral
333,Male,46-55,Michaelland,Spain,Regular,Social Media
334,Female,18-25,Jasmineberg,France,Regular,Social Media
335,Male,18-25,West Mary,Sweden,Regular,Referral
336,Male,66+,Lake Adamland,Belgium,Regular,Email
337,Male,18-25,South Lisashire,Germany,Regular,Paid Ads
338,Other,56-65,East Nicholasshire,Spain,Regular,Organic Search
339,Male,36-45,West Crystaltown,Czech Republic,VIP,Paid Ads
340,Other,46-55,Port Hannahshire,Italy,VIP,Referral
341,Male,66+,Vazquezchester,Poland,Regular,Paid Ads
342,Female,46-55,Simmonsfurt,Greece,VIP,Social Media
343,Female,26-35,Henryburgh,France,Regular,Organic Search
344,Female,18-25,Masonfurt,Spain,Regular,Email
345,Other,56-65,Sheilatown,Spain,VIP,Referral
346,Female,36-45,Lake April,Germany,Regular,Organic Search
347,Male,36-45,Waterston,Italy,Regular,Organic Search
348,Other,36-45,Carrolltown,Czech Republic,VIP,Social Media
349,Other,26-35,Lake Frankbury,Spain,Regular,Referral
350,Female,66+,South Patriciatown,Cyprus,VIP,Paid Ads
351,Female,18-25,Gonzalezville,Germany,Regular,Organic Search
352,Male,36-45,West Ginafort,Sweden,Regular,Email
353,Other,46-55,South Alexandraton,Italy,Regular,Paid Ads
354,Male,66+,Donnastad,France,Regular,Organic Search
355,Female,46-55,Benitezburgh,Sweden,Regular,Referral
356,Male,46-55,South Evanville,Italy,Regular,Social Media
