Subscription_ID,Customer_ID,Start_Date,End_Date,Plan_ID,Monthly_Fee,Status,Churn_Reason_ID,Lifetime_Value
1,9153,2024-04-18,,STANDARD,19.99,Active,,434.45
2,8814,2023-04-21,,BASIC,9.99,Active,,338.0
3,2745,2023-08-18,2024-04-09,PREMIUM,39.99,Churned,COMP-01,313.25
4,9546,2026-04-14,2027-09-25,PREMIUM,39.99,Churned,PROD-01,705.16
5,4413,2024-01-02,,PREMIUM,39.99,Active,,1011.75
6,9978,2026-05-16,,BASIC,9.99,Active,,-35.3
7,2307,2023-05-01,,PREMIUM,39.99,Active,,1339.66
8,3929,2023-04-12,,STANDARD,19.99,Active,,682.33
9,8593,2024-08-23,,PREMIUM,39.99,Active,,699.83
10,2434,2026-03-07,,PREMIUM,39.99,Active,,-47.99
11,4302,2025-04-13,,STANDARD,19.99,Active,,194.57
12,8449,2024-03-28,,PREMIUM,39.99,Active,,897.11
13,7122,2023-08-29,,BASIC,9.99,Active,,294.7
14,439,2024-01-15,,STANDARD,19.99,Active,,497.08
15,9095,2023-03-12,,STANDARD,19.99,Active,,702.98
16,304,2025-09-10,,PREMIUM,39.99,Active,,189.29
17,9618,2024-03-11,,STANDARD,19.99,Active,,459.77
18,9588,2023-07-09,,PREMIUM,39.99,Active,,1247.69
19,936,2025-04-23,2027-02-06,PREMIUM,39.99,Churned,SERVICE-01,871.78
20,1057,2023-10-20,,STANDARD,19.99,Active,,555.06
21,5370,2025-11-23,,PREMIUM,39.99,Active,,90.64
22,691,2024-05-24,,BASIC,9.99,Active,,205.13
23,8324,2023-02-24,,PREMIUM,39.99,Active,,1427.64
24,1571,2026-06-16,,STANDARD,19.99,Active,,-91.29
25,4314,2024-01-12,,PREMIUM,39.99,Active,,998.42
26,1164,2024-12-02,2025-05-04,PREMIUM,39.99,Churned,SERVICE-02,203.95
27,2650,2025-09-21,,PREMIUM,39.99,Active,,174.62
28,8456,2023-09-12,,STANDARD,19.99,Active,,580.38
29,7925,2023-04-17,,STANDARD,19.99,Active,,678.99
30,704,2023-07-04,,BASIC,9.99,Active,,313.35
31,2856,2025-08-23,,STANDARD,19.99,Active,,106.61
32,8467,2026-01-11,,STANDARD,19.99,Active,,12.66
33,8849,2024-11-08,2026-04-27,BASIC,9.99,Churned,PROD-01,178.16
34,3038,2023-09-10,2025-05-02,BASIC,9.99,Churned,PROD-01,199.8
35,369,2024-03-19,,STANDARD,19.99,Active,,454.44
36,339,2026-06-14,,BASIC,9.99,Active,,-44.95
37,8155,2023-10-07,2025-09-09,STANDARD,19.99,Churned,PROD-01,468.43
